,id,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,1j61kYCfWXc89cSuQRPt9V,216693,0.993,0.244,0.14,0.00399,0.107,-19.985,0.0513,172.858,3
1,59Bml7VuTWEoSeZRrd3glh,240907,0.994,0.304,0.272,0.442,0.258,-15.062,0.0473,123.718,4
2,2WJCZO6t2Ehe5XglyqFkTz,278000,0.993,0.242,0.0706,0.0375,0.371,-22.164,0.0478,76.446,4
3,0UwWSJx2OvlrGxu8Fd2qlH,153000,0.995,0.557,0.039,0.794,0.366,-22.831,0.0779,127.243,4
4,4g8zryHn6KtxyEVOSYTjZn,258000,0.976,0.231,0.0265,7.89e-05,0.37,-25.757,0.05,74.851,4
5,7l6MqofozrrgnVCJCLsrAR,282000,0.993,0.361,0.0616,0.00157,0.407,-22.501,0.0501,127.285,3
6,3LSWvWTiuNNO98u4wksE2U,233000,0.994,0.39,0.0928,0.277,0.375,-22.076,0.0535,135.069,4
7,05IAzdvVOxqDMERbYACiXI,280000,0.977,0.363,0.0358,0.000509,0.369,-23.731,0.06,67.84,4
8,0JUsCurjFYktB1bjJ9NPFN,277000,0.99,0.425,0.0586,0.0302,0.336,-24.133,0.0698,123.362,4
9,5YQzzihKB4Vz8nfnHPTjY6,449000,0.995,0.341,0.0509,0.294,0.348,-22.976,0.047,126.127,4
10,26oP6VKWP4xlFhQTsUmPi4,224333,0.878,0.535,0.252,0.934,0.122,-17.801,0.0482,112.149,4
11,3VfG5mNU2tsJSJL5gxnXd9,205667,0.929,0.167,0.00519,0.766,0.117,-37.187,0.0515,79.67,3
12,5UpsK4sPnUeHf6ZmCa1fzf,190800,0.945,0.554,0.0719,0.797,0.0472,-24.588,0.0661,84.075,4
13,0woPGVepjnljMgrd7kV0f5,521505,0.985,0.448,0.0873,0.842,0.256,-25.501,0.0419,133.344,4
14,2DM7E51F4nJtQk0jul9QKZ,171467,0.928,0.26,0.212,0.0,0.354,-11.717,0.0355,93.434,3
15,6sh3NUobm4m3rVHOhEPDgU,231160,0.789,0.0832,0.045,0.631,0.117,-30.304,0.0431,171.651,4
16,6aeksr8fPLrCJvBNa94FqX,42533,0.878,0.315,0.0163,0.914,0.551,-30.657,0.0391,89.009,4
17,3rSAbymJ2mmBneNr4CEVfu,169587,0.987,0.323,0.185,0.0,0.181,-15.343,0.0396,137.516,1
18,2Ch8ZMOxJdgnt6AhMKSwp5,278000,0.898,0.118,0.021,0.776,0.156,-32.832,0.0387,89.327,4
