id,name,decade,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,release_date,speechiness,tempo,time_signature,valence,date_match
1j61kYCfWXc89cSuQRPt9V,Act III: Bella figlia dell'amore - Quartet,1900,0.993,0.244,216693,0.14,0.00399,1,0.107,-19.985,1,1990,0.0513,172.858,3,0.39799999999999996,0
2WJCZO6t2Ehe5XglyqFkTz,La Sonnambula: Ah! non credea mirarti (Recorded 1911),1900,0.993,0.242,278000,0.0706,0.0375,0,0.371,-22.164,1,1998-01-01,0.0478,76.446,4,0.139,0
59Bml7VuTWEoSeZRrd3glh,Act II: Chi mi frena in tal momento?,1900,0.9940000000000001,0.304,240907,0.272,0.442,1,0.258,-15.062000000000001,1,1990,0.0473,123.71799999999999,4,0.358,0
0UwWSJx2OvlrGxu8Fd2qlH,La Sonnambula: Ah! non giunge (Recorded 1904),1900,0.995,0.557,153000,0.039,0.794,10,0.366,-22.831,1,1998-01-01,0.0779,127.243,4,0.46,0
4g8zryHn6KtxyEVOSYTjZn,Rigoletto: Caro nome (Recorded 1911),1900,0.976,0.231,258000,0.0265,7.890000000000001e-05,4,0.37,-25.756999999999998,1,1989-01-01,0.05,74.851,4,0.175,0
7l6MqofozrrgnVCJCLsrAR,La Traviata: Ah fors' è lui … sempre libera (Recorded 1911),1900,0.993,0.361,282000,0.0616,0.00157,5,0.40700000000000003,-22.500999999999998,1,1998-01-01,0.0501,127.285,3,0.11699999999999999,0
3LSWvWTiuNNO98u4wksE2U,"I Puritani: Vien, diletto (Recorded 1912)",1900,0.9940000000000001,0.39,233000,0.0928,0.27699999999999997,8,0.375,-22.076,1,1998-01-01,0.0535,135.069,4,0.19899999999999998,0
05IAzdvVOxqDMERbYACiXI,Mignon: Io son Titania (Recorded 1911),1900,0.977,0.363,280000,0.0358,0.000509,5,0.369,-23.730999999999998,1,1989-01-01,0.06,67.84,4,0.2,0
5YQzzihKB4Vz8nfnHPTjY6,Lucia di Lammermoor: Regnava nel silenzio…Quando rapita in estasi (Recorded 1909),1900,0.995,0.341,449000,0.0509,0.294,7,0.348,-22.976,1,1998-01-01,0.047,126.12700000000001,4,0.17,0
0JUsCurjFYktB1bjJ9NPFN,Linda di Chamounix: O luce di quest' anima (Recorded 1914),1900,0.99,0.425,277000,0.0586,0.0302,0,0.336,-24.13300000000001,1,1998-01-01,0.0698,123.36200000000001,4,0.40299999999999997,0
26oP6VKWP4xlFhQTsUmPi4,"March of the Toys from ""Babes In Toyland""",1900,0.878,0.535,224333,0.252,0.934,9,0.122,-17.801,0,1994,0.0482,112.149,4,0.245,0
3VfG5mNU2tsJSJL5gxnXd9,Ghazel for Cello & Strings (Transc. Sam Dennison),1900,0.929,0.16699999999999998,205667,0.00519,0.7659999999999999,3,0.11699999999999999,-37.187,1,1988-01-01,0.0515,79.67,3,0.0623,0
5UpsK4sPnUeHf6ZmCa1fzf,Babes in Toyland: Eccentric Dance (Gavotte),1900,0.945,0.5539999999999999,190800,0.0719,0.797,5,0.0472,-24.588,1,1999-02-26,0.0661,84.075,4,0.588,0
2DM7E51F4nJtQk0jul9QKZ,"Ah! Sweet Mystery Of Life (From ""Naughty Marietta"")",1900,0.9279999999999999,0.26,171467,0.212,0.0,1,0.354,-11.717,1,1991-11-12,0.0355,93.434,3,0.151,0
0woPGVepjnljMgrd7kV0f5,Medley: Nutcracker Suite: Marche Miniature / Dance Of The Sugar Plum Fairy / Russian Dance / Arabian Dance / Chinese Dance / Dance Of The Reed Pipes,1900,0.985,0.44799999999999995,521505,0.0873,0.8420000000000001,2,0.256,-25.500999999999998,1,1900-01-30,0.0419,133.344,4,0.35100000000000003,1
6sh3NUobm4m3rVHOhEPDgU,Yesterthoughts,1900,0.789,0.0832,231160,0.045,0.631,4,0.11699999999999999,-30.304000000000002,0,1988-01-01,0.0431,171.65099999999995,4,0.135,0
6aeksr8fPLrCJvBNa94FqX,Victor Herbert Favorites: Absinthe Frappe from It Happened in Nordland,1900,0.878,0.315,42533,0.0163,0.914,0,0.551,-30.656999999999996,1,1994-03-08,0.0391,89.009,4,0.455,0
3rSAbymJ2mmBneNr4CEVfu,Moonbeams - Remastered Version,1900,0.987,0.32299999999999995,169587,0.185,0.0,7,0.18100000000000002,-15.343,1,2002-01-01,0.0396,137.516,1,0.239,0
2Ch8ZMOxJdgnt6AhMKSwp5,Pensée amoureuse,1900,0.898,0.11800000000000001,278000,0.021,0.7759999999999999,2,0.156,-32.832,1,1988-01-01,0.0387,89.32700000000001,4,0.152,0
6JoNr0RRmjKNSfpqq3kqGV,March of the Toys,1900,0.977,0.507,228400,0.265,0.8909999999999999,9,0.0941,-15.232000000000001,0,2013-06-04,0.0468,123.2,4,0.39899999999999997,0
7MpZ7lMDTpu0r9YNYf7zlw,Don't Bite The Hand That's Feeding You,1900,0.996,0.693,162840,0.294,0.0006450000000000001,3,0.257,-5.7010000000000005,0,2011-11-25,0.0724,124.09100000000001,3,0.6509999999999999,0
6w47hEyC5tszedrtvsMGWi,When I Was 21 and You Were Sweet 16 - When I Was Twenty-one and You Were Sweet Sixteen,1900,0.996,0.493,239187,0.0576,0.00922,5,0.179,-20.991999999999997,1,1961-01-01,0.0518,74.196,4,0.705,0
0hjcX0j3yKRH8yzyEIVBw1,On a Beautiful Night with a Beautiful Girl,1900,0.991,0.35600000000000004,257306,0.501,0.13699999999999998,9,0.948,-13.654000000000002,1,2013-04-09,0.252,86.329,3,0.643,0
6xc0PYIV1LTZooj8ON83M1,At the Ten-Cent Movie Show,1900,0.762,0.613,181667,0.297,0.0,9,0.7490000000000001,-13.556,1,2018-09-21,0.046,113.074,4,0.821,0
4NykiY0PeY8KMAzfn6lgr6,"Any Little Girl, Thats a Nice Little Girl",1900,0.993,0.6940000000000001,161593,0.0169,0.0,2,0.39899999999999997,-26.603,1,2020-10-30,0.363,78.229,4,0.77,0
4TjkxuskkUqPf7kQ6WL48Y,The Village Band,1900,0.995,0.68,222145,0.39399999999999996,9.499999999999999e-05,1,0.907,-8.763,0,2013-04-09,0.149,118.60700000000001,4,0.763,0
1aSEXfmjaaCigbzLLtZlAm,Black Bottom Stomp - 2002 Remastered,1900,0.805,0.604,192427,0.48100000000000004,0.816,0,0.335,-12.892000000000001,0,2002-03-05,0.0566,128.792,4,0.838,0
0BSmm3x2fXczZuML8c8IlT,King Porter Stomp,1900,0.996,0.452,156867,0.139,0.929,1,0.22399999999999998,-21.803,1,1992-01-01,0.0466,96.37200000000001,4,0.674,0
18IEF8U8TAk8wrWD0ednBy,Doctor Jazz,1900,0.982,0.735,208253,0.469,0.6809999999999999,11,0.0745,-7.985,1,1923-05-27,0.0529,100.363,4,0.9159999999999999,0
2aJAX1CdLTde85RwXWX9UU,Sweet Jazz Music,1900,0.995,0.5589999999999999,106463,0.21,0.479,10,0.107,-18.393,1,1955-10-09,0.0415,85.845,4,0.7490000000000001,0
3Wg4BD7xrsRjKWhN7OIYxd,Kansas City Stomp,1900,0.995,0.57,165133,0.168,0.8540000000000001,3,0.0896,-23.616999999999997,1,1999-01-01,0.0369,99.523,4,0.508,0
78oWgKq66Q5KTcrYZpEYEu,Fingerbreaker,1900,0.991,0.35200000000000004,175467,0.19399999999999998,0.868,10,0.141,-22.219,1,1999-01-01,0.0374,150.428,4,0.615,0
3hyAkMxahyvvbAnZzidoks,Wolverine Blues,1900,0.988,0.5720000000000001,205450,0.509,0.9109999999999999,3,0.14300000000000002,-13.007,1,1923-05-27,0.0336,109.62899999999999,4,0.9059999999999999,0
4uNGepnaDfU354CD5Kg68p,I Thought I Heard Buddy Bolden Say,1900,0.8859999999999999,0.644,193827,0.188,0.00502,5,0.225,-11.107999999999999,1,1923-05-27,0.047,85.814,4,0.669,0
4fgeLDwbO4i8EBZAkAsnD8,Jelly Roll Blues,1900,0.9209999999999999,0.546,185080,0.5529999999999999,0.87,3,0.0697,-7.257999999999999,1,1923-05-27,0.17300000000000001,151.56799999999996,4,0.873,0
